mean,std,min,max,site,gene
0.1529961096059426,0.19010560574626723,0.0,0.6283045130839047,1202,100457at3193
0.10013601683386555,0.11865686616543994,0.0,0.3303647212054135,2109,100457at3193
0.06741598921484906,0.07012601757228737,0.0,0.1941236317691546,2110,100457at3193
0.008235700972491555,0.012239859357008904,0.0,0.036485194932871945,2111,100457at3193
0.07966285004599866,0.08139620893983307,0.0,0.22504631652311513,2112,100457at3193
0.015462762142296768,0.019189528383768806,0.0,0.06884299223831869,2113,100457at3193
0.0640047318825547,0.0994445041465285,0.0,0.3423160581480018,2114,100457at3193
0.10317573152381779,0.11414215528530654,0.00031994137234847564,0.298143118474532,2115,100457at3193
0.1567523369258799,0.1618239320774468,0.0,0.4278802454901065,2116,100457at3193
0.1147286494080486,0.14150207913615104,6.756081485370657e-07,0.5059047062710058,2117,100457at3193
0.008631488121632428,0.012113664545614992,0.0,0.036248312893444545,2118,100457at3193
0.046844636704679546,0.07361526286330276,0.0,0.2328045532752503,2119,100457at3193
0.03109902402096824,0.05435857715595268,0.0,0.20175835731695013,2120,100457at3193
0.08585875691862462,0.10168420525447042,0.0,0.3597193807176131,2121,100457at3193
0.05315526744140917,0.07749301640840715,0.0,0.2961414765833683,2122,100457at3193
0.15771623473563626,0.159849306998253,0.0023117935337213513,0.5006654037920621,2123,100457at3193
0.05825429059814035,0.052527757891022805,0.0,0.15280754376030536,2124,100457at3193
0.046897085269891337,0.05053372756711951,0.0,0.14916652599646651,2129,100457at3193
0.14059096609610228,0.14905195317336048,0.0,0.44067361053362,2130,100457at3193
0.07822967923045841,0.09415805781917186,0.0,0.32699625526585585,2131,100457at3193
0.10064243984627134,0.10482101815290235,0.005849833031414731,0.3786120571692124,2132,100457at3193
0.05188398351459275,0.06827524134500497,0.0,0.23127559380470197,2133,100457at3193
0.05205757960022261,0.06855756145824932,0.0,0.18185961857664212,2134,100457at3193
0.008295761237351465,0.011907195109340737,0.0,0.037491405355678076,2135,100457at3193
0.13594630116896778,0.16178338669783618,0.0,0.5403888171394051,2136,100457at3193
0.05827882684344335,0.06484794081577168,0.0,0.22257987320799444,2137,100457at3193
0.006409444477510121,0.009483792221938382,0.0,0.02582315890725373,2138,100457at3193
0.04562719192782709,0.050260011942148373,0.0,0.130268403903381,2139,100457at3193
0.009031430233108484,0.014491076678939995,0.0,0.05137652098109813,2141,100457at3193
0.03137607996540062,0.0432497526313386,0.0,0.16110110700955937,2144,100457at3193
0.060675555603893296,0.05521477300633219,0.0,0.14996407183599647,2145,100457at3193
0.06766639770494726,0.10256914372813233,0.0,0.31113387073334176,2146,100457at3193
0.09092813473048622,0.11854694022931425,0.0,0.3461526713706422,2148,100457at3193
0.05146597564891263,0.07062389679542717,0.0,0.21379549700098233,2150,100457at3193
0.07369794501075005,0.0962863688659495,0.0,0.35953790074380443,2152,100457at3193
0.035692537882341314,0.04320220980591534,0.0,0.13551776805895477,2154,100457at3193
0.1127314010453835,0.1427420598375471,0.0,0.4704114313482015,2155,100457at3193
0.015646269934168087,0.02478648599948358,0.0,0.08751121617269453,2156,100457at3193
0.1005297834171615,0.09953399332249971,0.0,0.301439460686876,2157,100457at3193
0.11485771075720307,0.15238802866093837,0.0,0.5095070974822855,2158,100457at3193
0.12129648471748326,0.13963007458435073,0.0,0.3719572340243573,2159,100457at3193
0.04260379322776708,0.048873166431547696,0.0,0.1402845335922036,2160,100457at3193
0.04670153850129807,0.05917120978839344,0.0,0.16060092772666623,2161,100457at3193
